iteration,t_M,L,columns,rank,condition,s_min,s_max,relative_normal_equation_error
9728,19.0,8,81,81,2.5526999917257287,0.17889780245278564,0.456672418840977,2.8225175534216688e-15
9760,19.0625,2,9,9,1.8932251797494561,0.2084641797350367,0.3946696341501878,1.2863917377217812e-15
9760,19.0625,4,25,25,2.266315890180527,0.19043078625883544,0.4315763168779704,9.024564593929056e-16
9760,19.0625,6,49,49,2.4233410340003134,0.18418915418998838,0.44635313536640964,1.7167341753444354e-15
9760,19.0625,8,81,81,2.501103574594288,0.1813463341206047,0.45356596450861447,7.381960053066495e-16
9792,19.125,2,9,9,1.8665783371961622,0.2102273926718247,0.3924058970464592,8.182472300732847e-16
9792,19.125,4,25,25,2.2267649744014513,0.19256088983515288,0.4287878449244949,1.2237697948529764e-15
9792,19.125,6,49,49,2.3788407967783662,0.18641599469727707,0.44345397335790226,7.096549281469766e-16
9792,19.125,8,81,81,2.454346127845951,0.18360959657114567,0.4506415023797486,8.068227944878058e-16
9824,19.1875,2,9,9,1.8420773767850922,0.2118673124780543,0.3902759831960817,7.874705197286841e-16
9824,19.1875,4,25,25,2.1905047374055013,0.19454572884036453,0.4261533406668246,1.3938153785337857e-15
9824,19.1875,6,49,49,2.3380402080108755,0.1884937361786836,0.4407059341439565,1.3560098079344221e-15
9824,19.1875,8,81,81,2.4114647179670543,0.18572287681567762,0.447864164760348,1.589930812703845e-15
9856,19.25,2,9,9,1.819408932495085,0.2134010356626943,0.3882637504884082,1.712896036899106e-15
9856,19.25,4,25,25,2.157045653282332,0.1964052831693522,0.42365516234213674,1.6127857047053819e-15
9856,19.25,6,49,49,2.3003887428989183,0.19044274465774316,0.4380923459774455,1.1676863178962566e-15
9856,19.25,8,81,81,2.371882632313539,0.18770659096982442,0.44521800309210796,8.675209557885225e-16
9888,19.3125,2,9,9,1.7983489505445942,0.21484065834871294,0.38635847247571764,7.437367819755288e-16
9888,19.3125,4,25,25,2.1260360857299525,0.198153718869496,0.4212819568381367,1.1756061100398784e-15
9888,19.3125,6,49,49,2.2654904246346903,0.19227744200314165,0.4356027037313694,6.188189845518059e-16
9888,19.3125,8,81,81,2.335185432099026,0.18957518333888787,0.44269320642047294,9.964766199779671e-16
9920,19.375,2,9,9,1.7786637723342245,0.21619928912738418,0.38454584317529084,7.365507489000059e-16
9920,19.375,4,25,25,2.097114846592853,0.1998064033145627,0.41901697483528894,3.3028117227070517e-15
9920,19.375,6,49,49,2.232939432414907,0.194013569124529,0.4332205489217161,1.3390999706692077e-15
9920,19.375,8,81,81,2.3009481918262877,0.19134447322350817,0.4402737196795846,5.216067603920785e-16
9952,19.4375,2,9,9,1.7601770548150284,0.21748687615463208,0.3828154091307811,9.035969463655696e-16
9952,19.4375,4,25,25,2.070010893662571,0.20137492062582277,0.4168482794058887,1.1425234310662215e-15
9952,19.4375,6,49,49,2.2024321335250563,0.1956629469451384,0.4309343616921811,1.9208799189888134e-15
9952,19.4375,8,81,81,2.2688536408377007,0.1930263157548913,0.4379484592779727,5.79420223948417e-16
9984,19.5,2,9,9,1.742774090045865,0.2187097178558855,0.3811616295204787,8.253527717560374e-16
9984,19.5,4,25,25,2.0445451196595537,0.20286662717621975,0.4147699725349343,2.2510522393423028e-15
9984,19.5,6,49,49,2.173766474526663,0.1972330642898,0.4287386228213292,1.6040244942737965e-15
9984,19.5,8,81,81,2.2386898254179775,0.1946282076536609,0.435712188213588,1.2561322847637471e-15
10016,19.5625,2,9,9,1.7263380365102607,0.21987441622451426,0.37957756798386777,6.856141435787318e-16
