snapshot_index,offset_M,vertices,triangles,max_angular_edge_deg,min_triangle_doublearea_coordinate,coordinate_center_inertial_x,coordinate_center_inertial_y,closed_manifold
41,0.14798496600997169,1922,3840,9.316436539627507,8.087045102814593e-06,-0.10079990504383537,-0.09453538440457213,True
42,0.15122382980780458,1922,3840,9.31453276497923,8.097959283485304e-06,-0.10059441403486269,-0.09457598849262283,True
43,0.1541542303866663,1922,3840,9.312816117211495,8.107811474850028e-06,-0.10040882967728679,-0.09461249560489801,True
44,0.1582982695267674,1922,3840,9.31039786444002,8.121707873126766e-06,-0.10014692495038513,-0.09466375025775736,True
45,0.16175789496901416,1922,3840,9.308387333242898,8.133276987794066e-06,-0.09992875692890593,-0.09470620724330561,True
46,0.16509149910234555,1922,3840,9.306457161062237,8.144397087080679e-06,-0.09971894789760058,-0.09474683247693602,True
47,0.16834176313250282,1922,3840,9.30458192089494,8.155213406674328e-06,-0.09951477009878637,-0.09478617312862542,True
48,0.1712824782075586,1922,3840,9.302890923169635,8.164977738254555e-06,-0.09933036457436148,-0.09482153909114274,True
49,0.17540808245848893,1922,3840,9.300527559784618,8.17864160822204e-06,-0.09907217706727162,-0.09487079102314047,True
50,0.1788678422990415,1922,3840,9.29855365423615,8.190069144396962e-06,-0.09885612398278926,-0.09491176754213604,True
51,0.18220785160428932,1922,3840,9.296654962489637,8.201074509433704e-06,-0.09864794801786453,-0.09495104401102006,True
52,0.18546436067708783,1922,3840,9.294810216768465,8.21177964475811e-06,-0.09844535181178324,-0.09498907304418,True
53,0.18841072602845088,1922,3840,9.293146635284046,8.22144407720387e-06,-0.09826236762405671,-0.09502325489118857,True
54,0.1925383066241011,1922,3840,9.290824803121021,8.234949389572498e-06,-0.09800652771763041,-0.09507078164635613,True
55,0.19600468861790432,1922,3840,9.288882685310549,8.246261149112555e-06,-0.09779212207068036,-0.09511037263268249,True
56,0.1993416884488397,1922,3840,9.287019714921955,8.257124950856318e-06,-0.09758610526674888,-0.09514820856687531,True
57,0.20259526328391075,1922,3840,9.285209569310553,8.267692933559132e-06,-0.09738560171085942,-0.09518483759878504,True
58,0.20553897384888842,1922,3840,9.283577100907301,8.277234004904032e-06,-0.09720450037347658,-0.0952177566056373,True
59,0.20967235046737187,1922,3840,9.28129330602034,8.290598375956481e-06,-0.09695069796476602,-0.09526362541178063,True
60,0.21314040686365843,1922,3840,9.2793846509296,8.301782382069527e-06,-0.09673818615553867,-0.09530179297924343,True
61,0.21647479204557385,1922,3840,9.277555996062564,8.312510419028191e-06,-0.096534239284603,-0.09533821651097177,True
62,0.2197258175983734,1922,3840,9.275779094356464,8.322946845062071e-06,-0.09633574226539604,-0.09537347273128197,True
63,0.2226672216697807,1922,3840,9.274176524080014,8.332369570608046e-06,-0.09615644659636588,-0.09540515329147839,True
64,0.22680030653418726,1922,3840,9.271932828858086,8.345578255071714e-06,-0.09590498501597955,-0.0954493202532799,True
65,0.23025447556710787,1922,3840,9.270064937538098,8.356589163963344e-06,-0.09569525145677751,-0.09548592050186683,True
66,0.23359382344051483,1922,3840,9.26826537042443,8.367209851035815e-06,-0.09549285306690633,-0.09552103532163,True
67,0.23684968761699565,1922,3840,9.266516650181968,8.377542356370245e-06,-0.0952958560413576,-0.09555501830387861,True
68,0.23979546949067299,1922,3840,9.264939434131513,8.386871532755585e-06,-0.09511791006388377,-0.0955855495973904,True
69,0.24387426210159902,1922,3840,9.262763309593609,8.399758985617916e-06,-0.0948719728917452,-0.09562748698733983,True
70,0.24734767622794607,1922,3840,9.260917192473386,8.410706443864043e-06,-0.09466294811737899,-0.09566289245543239,True
71,0.25069929060737195,1922,3840,9.259141900401561,8.42124635295093e-06,-0.09446160891645264,-0.09569678919820673,True
72,0.2539671146269029,1922,3840,9.257416708095151,8.43150062116224e-06,-0.09426563732986407,-0.09572958631218201,True
73,0.25692371731156527,1922,3840,9.255860660613559,8.44075945921774e-06,-0.09408861296696766,-0.09575904614039674,True
74,0.26116301246020157,1922,3840,9.253637504859421,8.454004256570508e-06,-0.09383525455835819,-0.0958009331632256,True
75,0.26471733940888953,1922,3840,9.251780746620247,8.465081119247891e-06,-0.09362325373150761,-0.09583573208025206,True
76,0.26786454855937336,1922,3840,9.250142103933824,8.474868075697862e-06,-0.09343585460223959,-0.09586630214265116,True
77,0.27093307748100415,1922,3840,9.248549317469386,8.484391355182274e-06,-0.09325342719002384,-0.09589588879802441,True
78,0.27370936555280423,1922,3840,9.247112361469801,8.492991609258243e-06,-0.0930886164211292,-0.09592247157954228,True
79,0.27809383382327724,1922,3840,9.244850999806808,8.506542657486054e-06,-0.0928288053542547,-0.0959640937219273,True
80,0.28163711181332474,1922,3840,9.243030569472081,8.517466379338804e-06,-0.09261925624297805,-0.09599741004947673,True
81,0.2846198912411637,1922,3840,9.241502979660728,8.526643145162157e-06,-0.0924431414590463,-0.09602523499847238,True
82,0.28752810118339767,1922,3840,9.24001784194991,8.535573950422905e-06,-0.09227168015315958,-0.0960521699616308,True
83,0.2901593387500725,1922,3840,9.23867775572191,8.543640165410684e-06,-0.09211676091313412,-0.09607637478332723,True
84,0.29475096432497594,1922,3840,9.236347413874567,8.557684257526448e-06,-0.09184690104176442,-0.09611823916264967,True
85,0.29828617848579597,1922,3840,9.234560250225085,8.568469865783026e-06,-0.09163954284062763,-0.09615014826698515,True
86,0.3010841259620065,1922,3840,9.233150107556876,8.576989367933646e-06,-0.0914756831719635,-0.09617520393518483,True
87,0.303812124750948,1922,3840,9.231778864536865,8.585281703108875e-06,-0.09131613509854672,-0.09619946441982247,True
88,0.3062803141315271,1922,3840,9.230541306037857,8.592772234402131e-06,-0.09117196456100146,-0.09622127119784563,True
89,0.31096556038255585,1922,3840,9.228200129891636,8.606959987110093e-06,-0.09089876626053732,-0.09626229226920091,True
90,0.31445969630203763,1922,3840,9.226460945743652,8.617514310178754e-06,-0.09069542437035931,-0.09629256722918456,True
91,0.31839969772181576,1922,3840,9.224506757960592,8.629388466981057e-06,-0.09046654482737877,-0.09632638079061875,True
92,0.3220788040575826,1922,3840,9.222688556755053,8.640450686310488e-06,-0.09025321101446267,-0.09635764563931673,True
93,0.32697820511384634,1922,3840,9.220277094920204,8.655143865595651e-06,-0.08996969920610584,-0.09639881751779106,True
94,0.33068229563468776,1922,3840,9.218461344814402,8.666223532634846e-06,-0.0897557941485521,-0.09642959480720478,True
95,0.33429378389246267,1922,3840,9.21669706910704,8.677002509861117e-06,-0.08954759774200859,-0.09645931342470682,True
96,0.33756132088774393,1922,3840,9.21510596471189,8.686734825360687e-06,-0.0893595353558337,-0.09648595637950394,True
97,0.34251103405586036,1922,3840,9.212704982218158,8.701441449479565e-06,-0.08907520553567717,-0.09652587264215881,True
98,0.34619751533773524,1922,3840,9.210923954353529,8.712366677407397e-06,-0.08886386859544086,-0.09655525619816346,True
99,0.34979183458744956,1922,3840,9.209193324685856,8.72299585761727e-06,-0.08865816500325953,-0.09658362195323117,True
100,0.35304383771790526,1922,3840,9.207632486170928,8.732593309807787e-06,-0.08847234864448389,-0.09660904597476846,True
101,0.3576608826288066,1922,3840,9.205424517859608,8.746188147063554e-06,-0.0882090144590427,-0.09664475067690828,True
102,0.3614637978007522,1922,3840,9.203612972544958,8.757357769412016e-06,-0.08799253865236115,-0.09667381579051929,True
103,0.3651716400931946,1922,3840,9.201852761758401,8.768225222047207e-06,-0.08778183033550234,-0.09670185043691037,True
104,0.3685263545480666,1922,3840,9.200265417094666,8.77803624115663e-06,-0.08759151305256614,-0.096726973336652,True
105,0.3729638678023548,1922,3840,9.198173161866425,8.79098558859429e-06,-0.08734020530173277,-0.09675982930949834,True
106,0.37682961905375123,1922,3840,9.19635739305967,8.802239430740759e-06,-0.08712169205535808,-0.09678811117601346,True
107,0.38059872652411286,1922,3840,9.194593168449602,8.813187887715592e-06,-0.08690901084551779,-0.09681538132762477,True
108,0.3840088713782279,1922,3840,9.193002169793504,8.823073235242311e-06,-0.08671689782268545,-0.0968397959536259,True
109,0.3883141535552568,1922,3840,9.191000562538171,8.83552597059569e-06,-0.08647477862971403,-0.09687026941480611,True
110,0.39215466680070676,1922,3840,9.189221605704402,8.846608655394829e-06,-0.08625919265749901,-0.0968971247076047,True
111,0.3959208610135647,1922,3840,9.187483053007133,8.857453478555092e-06,-0.08604813894300627,-0.09692316026151662,True
112,0.39949138820838925,1922,3840,9.185840262333619,8.867713542059513e-06,-0.08584837840029275,-0.0969475696713985,True
113,0.4037374108788754,1922,3840,9.183893525544983,8.879887840227853e-06,-0.08561123948627057,-0.09697625129084736,True
114,0.4075560327300991,1922,3840,9.1821490614914,8.890811943262092e-06,-0.08539835264882738,-0.09700172587368994,True
115,0.4112844779392617,1922,3840,9.180451531843914,8.901455538085777e-06,-0.0851908405804611,-0.09702630745644394,True
