stage,sxs_id,lev,horizon,snapshot_index,field,actual_time_M,offset_M,n_surface_points,Mch,gradient_q95,active_points,largest_component_points,largest_component_fraction_of_active,shuffle_p,centroid_x,centroid_y,centroid_z,candidate_snapshot
BH-HF1R,SXS:BBH:0305,6,C,99,Estar,3685.8460597032786,0.34979183458744956,1922,0.8987766493898502,4.293649112800623,97,82,0.845360824742268,0.005,0.24203875440146508,-0.9702665826296307,-7.349381700729386e-08,True
BH-HF1R,SXS:BBH:0305,6,C,99,Bstar,3685.8460597032786,0.34979183458744956,1922,0.8987766493898502,1.7061530025346636,97,49,0.5051546391752577,0.295,-0.19987249628622034,0.979821915058195,-7.891019891044075e-08,False
BH-HF1R,SXS:BBH:0305,6,C,100,Rstar,3685.849311706409,0.35304383771790526,1922,0.8988686102538165,3.462383220280205,97,38,0.3917525773195876,0.635,0.04853444826983438,-0.9988215092453394,-7.223466064093459e-08,False
BH-HF1R,SXS:BBH:0305,6,C,100,Estar,3685.849311706409,0.35304383771790526,1922,0.8988686102538165,4.29806831666986,97,82,0.845360824742268,0.005,0.24193147351118005,-0.9702933381842337,-7.348301159935134e-08,True
BH-HF1R,SXS:BBH:0305,6,C,100,Bstar,3685.849311706409,0.35304383771790526,1922,0.8988686102538165,1.7066055910694138,97,49,0.5051546391752577,0.285,-0.19995473021946072,0.9798051366791545,-7.889327086402673e-08,False
BH-HF1R,SXS:BBH:0305,6,C,101,Rstar,3685.85392875132,0.3576608826288066,1922,0.8989986978198351,3.485793920567417,97,38,0.3917525773195876,0.635,0.04840342441571094,-0.9988278673048864,-7.045245111074799e-08,False
BH-HF1R,SXS:BBH:0305,6,C,101,Estar,3685.85392875132,0.3576608826288066,1922,0.8989986978198351,4.306339536037741,97,82,0.845360824742268,0.005,0.2417794636415206,-0.9703312274482427,-7.164661634443606e-08,True
BH-HF1R,SXS:BBH:0305,6,C,101,Bstar,3685.85392875132,0.3576608826288066,1922,0.8989986978198351,1.7072497880004787,97,49,0.5051546391752577,0.36,-0.20007124606124488,0.9797813513736087,-7.693688400046851e-08,False
BH-HF1R,SXS:BBH:0305,6,C,102,Rstar,3685.857731666492,0.3614637978007522,1922,0.8991054245993576,3.500297624945646,97,38,0.3917525773195876,0.67,0.04829575096812729,-0.9988330793673282,-7.223030036452539e-08,False
BH-HF1R,SXS:BBH:0305,6,C,102,Estar,3685.857731666492,0.3614637978007522,1922,0.8991054245993576,4.30873221224358,97,82,0.845360824742268,0.005,0.24165452563815226,-0.9703623499696359,-7.345484204262671e-08,True
BH-HF1R,SXS:BBH:0305,6,C,102,Bstar,3685.857731666492,0.3614637978007522,1922,0.8991054245993576,1.7079689476594817,97,49,0.5051546391752577,0.295,-0.2001670076900078,0.9797617919843691,-7.884923777321675e-08,False
BH-HF1R,SXS:BBH:0305,6,C,103,Rstar,3685.8614395087843,0.3651716400931946,1922,0.8992091346253511,3.5137565370262096,97,39,0.4020618556701031,0.595,0.05416944089007211,-0.9984620337824641,-0.011799947823732972,False
BH-HF1R,SXS:BBH:0305,6,C,103,Estar,3685.8614395087843,0.3651716400931946,1922,0.8992091346253511,4.3172862283277595,97,84,0.865979381443299,0.005,0.24077939644567023,-0.9705798690717078,-7.337005892758233e-08,True
