iteration,t_M,tau_M,field,measure,quantile,median,deviation_cutoff,vertices,selected_measure_fraction,long_axis_fraction,polar_fraction
9568,18.6875,0.0625,repsi2,fejer,0.98,-1.1757129870070573,2.2713130669324753,12,0.02157148319117863,1.0,0.0
9568,18.6875,0.0625,repsi2,midpoint,0.9,-1.1757129870070573,1.6706512729480791,58,0.1016276106347074,1.0,0.0
9568,18.6875,0.0625,repsi2,midpoint,0.95,-1.1757129870070573,1.9878831443894933,28,0.05038637693075027,1.0,0.0
9568,18.6875,0.0625,repsi2,midpoint,0.98,-1.1757129870070573,2.2713130669324753,12,0.021573001954305542,1.0,0.0
9568,18.6875,0.0625,repsi2,matched_triangle_support,0.9,-1.173783150351448,1.6725811096036884,58,0.10124486680497854,1.0,0.0
9568,18.6875,0.0625,repsi2,matched_triangle_support,0.95,-1.173783150351448,1.9898129810451026,28,0.05021823582518974,1.0,0.0
9568,18.6875,0.0625,repsi2,matched_triangle_support,0.98,-1.173783150351448,2.2732429035880846,12,0.02149386488124538,1.0,0.0
9568,18.6875,0.0625,impsi2,fejer,0.9,5.5890436653564885e-15,0.3590382597895522,966,0.10015414691405522,0.3765154048970259,0.7406384865847281
9568,18.6875,0.0625,impsi2,fejer,0.95,5.5890436653564885e-15,0.39093977868826985,751,0.0500661906101203,0.25994139574242703,0.7400586042575731
9568,18.6875,0.0625,impsi2,fejer,0.98,5.5890436653564885e-15,0.41501504029848796,553,0.020021052040283583,0.0,1.0
9568,18.6875,0.0625,impsi2,midpoint,0.9,5.5890436653564885e-15,0.35903825978955234,965,0.10008054915449419,0.37675395296278835,0.7404047655537729
9568,18.6875,0.0625,impsi2,midpoint,0.95,5.5890436653564885e-15,0.39093977868827595,750,0.05008080102498906,0.2599840232287363,0.7400159767712637
9568,18.6875,0.0625,impsi2,midpoint,0.98,5.5890436653564885e-15,0.4154734000865599,552,0.02007143295528207,0.0,1.0
9568,18.6875,0.0625,impsi2,matched_triangle_support,0.9,5.5890436653564885e-15,0.35903825978955234,965,0.10016397543308928,0.3738228315693255,0.7423066961799436
9568,18.6875,0.0625,impsi2,matched_triangle_support,0.95,5.5890436653564885e-15,0.3909397786882824,749,0.05001882241398051,0.25861144812801,0.7413885518719899
