iteration,t_M,tau_M,area_physical_fejer,area_physical_midpoint,area_coordinate_fd4_fejer,physical_to_coordinate_area,physical_to_coordinate_density_min,physical_to_coordinate_density_max,max_tangent_residual,min_q_eigenvalue,full_tetrad_q_difference_max,local_phase_density_relative_difference,local_boost_full_tetrad_q_difference_max,angular_grid_radial_fit_max_error,region_boundary_margin,second_order_mismatch_area_relative,second_order_mismatch_tangent_residual,origin,long_axis_available,coordinate_span_max_over_min
9856,19.25,0.625,39.27896493371768,39.284503063695915,5.265924378468824,,,,4.685937962264556e-15,0.002342429897200139,1.933587038601542e-15,,,6.53682069718016e-16,,,,new_B4,True,2.1128508860637174
9888,19.3125,0.6875,39.38023126077249,39.385900697385026,5.313560712441895,,,,4.464330559354128e-15,0.0024017530360207987,1.5678032284490665e-15,,,5.853220592348158e-16,,,,new_B4,True,2.077532026090999
9920,19.375,0.75,39.47487191449406,39.48066731996332,5.358506629562852,,,,4.5270044027874254e-15,0.0024588357481998353,1.3273458071853002e-15,,,5.976592943181412e-16,,,,new_B4,True,2.042541397759626
9952,19.4375,0.8125,39.56372132310734,39.56963796479768,5.401120272024987,,,,4.599266706122972e-15,0.0025130017430760546,1.6630636160161337e-15,,,6.249652563068626e-16,,,,new_B4,True,2.008544607463084
9984,19.5,0.875,39.64709460440139,39.65312803900436,5.441489358786387,,,,5.761501057379345e-15,0.0025650893783216206,1.7936603145272853e-15,,,6.105458851626868e-16,,,,new_B4,True,1.9758967084964167
10016,19.5625,0.9375,39.72554374026622,39.731689907267466,5.479838151133263,,,,4.4033190262495605e-15,0.002615460425400955,1.4278338725325266e-15,,,6.332278549106304e-16,,,,new_B4,True,1.9444271227788665
10048,19.625,1.0,39.799610763417526,39.805865960157035,5.516386559811243,,,,3.492109885473128e-15,0.0026642742324299476,1.2159037840910033e-15,,,6.220043708352239e-16,,,,new_B4,True,1.9140036647411487
10080,19.6875,1.0625,39.86955567154391,39.87591642445666,5.551227533915977,,,,4.32824521161508e-15,0.002711631271077251,1.5467257594454755e-15,,,6.233714450902501e-16,,,,new_B4,True,1.8845285167038717
10112,19.75,1.125,39.93566079771237,39.94212383967928,5.584470903112173,,,,2.9531779932157157e-15,0.0027576258645046984,1.2599904262703588e-15,,,6.296014619262908e-16,,,,new_B4,True,1.8559192243296263
10144,19.8125,1.1875,39.99835160015411,40.00491391815093,5.616289906844298,,,,4.4295951719328766e-15,0.0028023734806538994,1.5259281705312941e-15,,,6.1084626830623e-16,,,,new_B4,True,1.8283969213402018
10176,19.875,1.25,40.057756961824765,40.06441567900343,5.646731708653936,,,,4.2171682547131135e-15,0.0028450127131874037,1.5240264256846079e-15,,,6.733613140046699e-16,,,,new_B4,True,1.804345035168428
10208,19.9375,1.3125,40.11403785339162,40.12079022072008,5.6758452805568105,,,,5.471531861462096e-15,0.002886190009080116,1.5901934918360792e-15,,,6.309024602816838e-16,,,,new_B4,True,1.7807978575680783
10240,20.0,1.375,40.167493870794054,40.1743373257608,5.703755834612846,,,,6.622811754565155e-15,0.002926303103661389,1.311049623770418e-15,,,6.270554141825099e-16,,,,new_B4,True,1.7577168205380171
10272,20.0625,1.4375,40.21827918174881,40.22521127784497,5.730524963272569,,,,4.381032864122699e-15,0.0029654090047053854,1.2572987374008906e-15,,,6.674621760839756e-16,,,,new_B4,True,1.735073736351342
