iteration,t_M,field,L,top2_nodes_squared_norm_fraction,top2_nodes_physical_area_fraction,top10_nodes_squared_norm_fraction,node1_index,node1_theta_deg,node1_phi_deg,node1_residual,node2_index,node2_theta_deg,node2_phi_deg,node2_residual
9728,19.0,impsi2,8,0.06453688443540716,0.003156805447266834,0.24573123144179093,1116,79.71428571428571,180.0,0.07319127100350359,1404,100.28571428571429,180.0,-0.07319126964781919
9728,19.0,abs_npsigma,8,0.1313344702331026,0.00318950966391242,0.28026478501352736,1295,90.0,355.0,-0.0251199946570893,1259,90.0,175.0,-0.025119992069328995
9760,19.0625,repsi2,8,0.604229868733915,0.0021532684959089006,0.656065894874141,1234,90.0,50.0,-0.7521464606721497,1270,90.0,230.0,-0.7521464602051398
9760,19.0625,impsi2,8,0.06325590248951642,0.00308959503391008,0.2528422110433038,1116,79.71428571428571,180.0,0.07093506572504138,1368,100.28571428571429,0.0,-0.07093506459446175
9760,19.0625,abs_npsigma,8,0.13461458332758358,0.003109087134928942,0.29980437982142605,1295,90.0,355.0,-0.024682547349040768,1259,90.0,175.0,-0.024682545305733855
9792,19.125,repsi2,8,0.7024013528014728,0.002176814908134278,0.7805693529290021,1234,90.0,50.0,-0.9698884926523679,1270,90.0,230.0,-0.9698884923005693
9792,19.125,impsi2,8,0.0582335131714217,0.003023640090336068,0.2540762153370864,1116,79.71428571428571,180.0,0.06691805511732873,1368,100.28571428571429,0.0,-0.06691805419999913
9792,19.125,abs_npsigma,8,0.13660504065724802,0.0030301577544320627,0.32063382139760604,1295,90.0,355.0,-0.024266392280457558,1259,90.0,175.0,-0.024266390643159254
9824,19.1875,repsi2,8,0.3910659794807691,0.002200209895860804,0.6760859722809265,1234,90.0,50.0,-0.528842333834787,1270,90.0,230.0,-0.5288423335722374
9824,19.1875,impsi2,8,0.054834557957947935,0.0030803534465862047,0.2471847461381866,1117,79.71428571428571,185.0,0.06258833506672223,1369,100.28571428571429,5.0,-0.06258833491440485
9824,19.1875,abs_npsigma,8,0.1366112643441815,0.0029524512113529655,0.34087329210794903,1295,90.0,355.0,-0.023789521322981455,1259,90.0,175.0,-0.023789519994706243
9856,19.25,repsi2,8,0.44378885935795026,0.002222881667591892,0.5458872515939225,1234,90.0,50.0,-0.4692059849140304,1270,90.0,230.0,-0.4692059847201282
9856,19.25,impsi2,8,0.05826948728240203,0.00302561663066076,0.23166276501747404,1117,79.71428571428571,185.0,0.06337984035135158,1369,100.28571428571429,5.0,-0.06337984020099946
9856,19.25,abs_npsigma,8,0.13559697006582838,0.002875934893561762,0.3488852755576789,1295,90.0,355.0,-0.023138267084112034,1259,90.0,175.0,-0.023138265992956056
9888,19.3125,repsi2,8,0.27375151851102913,0.0022450827104352356,0.5268708670246814,1234,90.0,50.0,-0.3606070560350143,1270,90.0,230.0,-0.3606070558855592
9888,19.3125,impsi2,8,0.05924630830999342,0.002971109686758796,0.2234729430299696,1117,79.71428571428571,185.0,0.06285182736320322,1369,100.28571428571429,5.0,-0.06285182721752514
